mileage,engine,max_power,km_driven,transmission,Cluster
22.74,796.0,47.3,50000,1,3
18.0,1497.0,117.6,1000,2,0
28.4,1248.0,74.02,19000,2,0
17.0,1405.0,70.0,265000,1,1
20.88,1196.0,61.7,35000,1,3
23.95,998.0,67.05,80000,1,3
16.0,2179.0,140.0,50000,2,0
20.92,998.0,67.1,80000,1,3
21.1,814.0,55.2,50000,1,3
23.84,1199.0,84.0,100000,1,3
15.1,1196.0,73.0,120000,1,3
23.8,1498.0,78.9,40000,2,0
21.38,1396.0,88.7,45000,1,1
19.7,796.0,46.3,80000,1,3
24.4,1120.0,71.01,135000,1,1
12.99,2494.0,100.6,120000,1,2
23.59,1364.0,67.1,67000,1,1
28.4,1248.0,74.02,50000,1,1
12.8,2494.0,102.0,134000,1,2
23.08,1461.0,63.1,110000,1,1
16.1,796.0,37.0,40000,1,3
23.4,1248.0,74.0,120000,1,1
20.14,1498.0,88.8,110000,1,1
21.0,1461.0,64.1,170000,1,1
16.1,796.0,37.0,80000,1,3
25.2,1248.0,74.0,47000,1,1
19.1,1197.0,81.86,93000,1,3
16.1,796.0,37.0,70000,1,3
23.1,998.0,67.04,50000,1,3
20.0,1399.0,68.05,70000,1,1
13.93,2179.0,138.03,80000,1,2
18.16,1196.0,86.8,44000,1,3
23.1,998.0,67.04,25000,1,3
15.29,1591.0,121.3,25000,1,3
21.21,1197.0,81.8,10000,1,3
17.6,2179.0,153.86,50000,1,2
23.0,1498.0,98.96,30000,1,1
21.19,1396.0,88.73,50000,1,1
22.54,1396.0,88.73,120000,1,1
15.96,2523.0,62.1,80000,1,2
20.45,1461.0,83.8,90000,1,1
20.4,1197.0,83.11,50000,1,3
22.5,999.0,67.0,2136,1,3
12.99,2494.0,100.0,250000,1,2
18.6,1197.0,81.83,35000,1,3
12.99,2494.0,100.6,120000,1,2
27.39,1248.0,74.0,70000,1,1
19.6,1461.0,108.45,18000,1,1
18.2,1248.0,73.74,110000,1,1
23.65,1248.0,88.5,60000,1,1
12.55,2982.0,168.5,60000,2,0
26.59,1248.0,74.0,147000,1,1
12.55,2982.0,168.5,130000,2,0
11.5,1991.0,147.9,99500,1,2
17.0,1405.0,71.0,110000,1,1
19.49,1198.0,67.04,35000,1,3
16.2,1493.0,110.0,110000,1,1
25.32,1198.0,77.0,100000,1,1
16.02,1373.0,93.7,21000,1,3
23.5,1498.0,90.0,60000,1,1
16.6,1405.0,70.0,40000,1,1
19.81,1086.0,68.05,50000,1,3
19.0,998.0,66.1,65000,1,3
18.9,998.0,67.1,80000,1,3
23.9,1582.0,126.2,119000,1,1
24.52,1248.0,88.5,80000,1,1
25.2,1248.0,74.0,90000,1,1
17.01,1591.0,121.4,20000,1,3
25.2,1248.0,74.0,80000,1,1
25.32,1198.0,77.0,44665,1,1
20.8,1493.0,113.4,10000,1,1
20.14,1197.0,81.86,60000,1,3
18.5,1198.0,86.8,22000,1,3
22.74,796.0,47.3,25000,1,3
27.62,793.0,47.0,70000,1,1
17.5,1298.0,85.8,123000,1,3
20.54,1598.0,103.6,70000,1,1
18.6,1199.0,79.4,70000,1,3
23.59,1364.0,67.06,45000,1,1
18.9,1197.0,82.0,40000,2,0
28.4,1248.0,74.02,30000,1,1
12.9,1799.0,130.0,90000,2,0
17.5,1373.0,91.1,34000,1,3
24.7,796.0,47.3,25000,1,3
22.74,796.0,47.3,50000,1,3
25.44,936.0,57.6,50000,1,1
23.84,1199.0,84.0,90000,1,3
25.44,936.0,57.6,70000,1,1
13.93,2179.0,138.0,146000,1,2
15.6,1196.0,70.0,85000,1,3
17.88,1396.0,52.8,201850,1,1
26.59,1248.0,74.0,30000,1,1
28.4,1248.0,74.02,15000,1,1
22.7,799.0,53.64,25000,1,3
20.92,998.0,67.1,90000,1,3
19.3,1248.0,73.9,80000,1,1
17.2,1396.0,53.5,50000,1,1
13.6,2523.0,63.0,80000,1,2
18.9,1248.0,74.0,110000,1,1
18.6,1197.0,81.83,38000,1,3
21.1,814.0,55.2,60000,1,3
17.5,1197.0,85.8,30000,1,3
19.1,1197.0,85.8,30000,1,3
18.6,1199.0,76.8,50000,1,3
23.84,1199.0,84.0,42000,1,3
18.2,1199.0,82.4,30000,1,3
19.7,796.0,46.3,60000,1,3
17.1,1956.0,170.0,14000,1,2
17.4,1497.0,117.3,22000,1,3
20.54,1598.0,103.6,90000,1,1
20.92,998.0,67.1,46000,1,3
18.6,1197.0,81.83,20000,1,3
15.42,1405.0,70.0,15000,1,1
16.02,1373.0,93.7,40000,1,3
18.5,1197.0,82.85,30000,1,3
21.1,814.0,55.2,15000,1,3
18.9,1248.0,74.0,50000,1,3
15.3,1341.0,83.0,110000,1,3
19.7,796.0,46.3,70000,1,3
18.2,1199.0,82.4,80000,1,3
18.9,1248.0,74.0,50000,1,1
17.57,1193.0,88.7,110000,1,3
19.68,1399.0,67.0,70000,1,1
19.7,796.0,46.3,50000,1,3
12.99,2494.0,100.6,190000,1,2
13.6,2523.0,63.0,100000,1,2
22.74,796.0,47.3,60000,1,3
20.51,998.0,67.04,40000,1,3
19.3,1248.0,73.9,90000,1,1
24.3,1248.0,88.5,32000,1,1
11.36,2755.0,171.5,30000,2,0
19.67,1582.0,126.2,58000,1,1
24.3,1248.0,88.5,5000,1,1
18.6,1197.0,81.83,25000,1,3
18.9,1197.0,81.86,32000,1,3
18.7,1199.0,88.7,30000,1,3
15.4,1497.0,117.3,43000,1,3
17.7,1497.0,113.42,60000,1,3
19.34,1198.0,76.0,50000,2,0
18.16,1196.0,86.8,14200,1,3
21.1,814.0,55.2,10000,1,3
22.7,799.0,53.64,25000,1,3
19.0,1194.0,94.68,19100,1,3
20.3,1086.0,68.0,25000,2,0
23.0,1498.0,98.96,54000,1,1
22.71,1461.0,84.8,35000,1,1
18.9,1197.0,81.86,20000,1,3
23.65,1248.0,88.5,52000,1,1
23.0,1396.0,90.0,120000,1,1
17.1,1956.0,170.0,50000,1,2
20.77,1248.0,88.8,120000,1,1
18.8,1248.0,90.0,90000,1,1
18.9,998.0,67.1,120000,1,3
21.14,1498.0,103.52,101500,1,1
22.32,1582.0,126.3,75000,2,0
18.9,1248.0,0.0,97500,1,3
15.4,1997.0,120.0,100000,1,2
19.01,1461.0,108.45,55735,1,1
15.1,2179.0,140.0,80000,1,2
24.7,796.0,47.3,50000,1,3
20.0,1399.0,68.1,70000,1,1
20.36,1197.0,78.9,76000,1,3
21.21,1197.0,81.8,1500,1,3
15.96,2523.0,62.1,76000,1,2
20.51,998.0,67.04,40000,1,3
21.1,814.0,55.2,60000,1,3
12.8,2494.0,102.0,170000,1,2
13.5,2477.0,175.56,181491,1,2
25.44,936.0,56.3,53319,1,1
21.66,1498.0,108.62,40906,1,1
17.6,1496.0,88.7,31711,1,3
21.1,814.0,55.2,43755,1,3
25.17,799.0,53.3,66693,1,3
19.0,998.0,67.1,59549,1,3
12.99,2494.0,100.6,94385,1,2
18.2,998.0,67.1,73730,1,3
22.32,1582.0,126.32,221889,1,1
25.8,1498.0,98.6,116104,1,1
22.0,1197.0,81.8,150546,1,3
14.24,2755.0,174.5,148120,1,2
15.8,1499.0,110.0,20000,1,3
18.9,1197.0,81.86,30000,2,0
13.7,2179.0,138.1,142000,1,2
12.2,1948.0,68.0,20000,1,2
18.8,1248.0,90.0,120000,1,1
19.81,1086.0,68.05,80000,1,3
19.09,1405.0,69.01,60000,1,1
23.01,999.0,67.0,25000,1,3
13.6,2523.0,63.0,50000,1,2
18.49,1493.0,100.0,126000,1,1
26.59,1248.0,74.0,170000,1,1
22.74,796.0,47.3,24000,1,3
24.52,1248.0,88.5,100000,1,1
24.0,1199.0,83.81,10000,1,3
20.0,1399.0,68.0,70000,1,1
16.8,796.0,34.2,40000,1,3
18.9,998.0,67.1,110000,1,3
19.81,1086.0,68.05,80000,1,3
17.57,1193.0,88.7,16500,1,3
23.95,998.0,67.05,30000,1,3
24.52,1248.0,88.5,80000,1,1
14.1,2179.0,147.94,50000,1,2
23.95,998.0,67.05,25000,1,3
24.0,1186.0,73.97,20000,1,1
25.17,799.0,53.3,60000,1,3
22.9,1248.0,74.0,70000,1,1
15.96,2523.0,62.1,50000,1,2
9.0,2997.0,218.0,100000,2,0
23.95,998.0,67.05,52000,1,3
23.4,1248.0,74.0,80000,1,1
21.1,814.0,55.2,50000,1,3
15.4,2179.0,120.0,60000,1,2
23.95,998.0,67.05,25000,1,3
24.0,1120.0,70.0,50000,1,1
22.77,1498.0,98.59,125000,1,1
20.51,998.0,67.04,80000,1,3
15.96,2523.0,63.0,70000,1,2
23.0,1396.0,90.0,90000,1,1
22.95,1248.0,74.0,50000,1,1
16.55,2498.0,105.0,101000,1,2
14.0,2498.0,112.0,168000,1,2
18.9,998.0,67.1,40000,1,3
0.0,1172.0,65.0,28900,1,3
18.9,998.0,67.1,20000,1,3
18.49,1493.0,100.0,165000,1,1
19.0,998.0,66.1,98500,1,3
20.36,1197.0,78.9,98000,1,3
16.55,2498.0,105.0,40000,1,2
20.3,1248.0,92.0,90000,1,1
19.7,796.0,46.3,90000,1,3
17.1,1493.0,110.0,110000,1,1
25.1,1248.0,88.5,77800,1,1
18.49,1493.0,100.0,100000,1,1
19.0,1405.0,71.0,120000,1,1
19.1,1197.0,82.0,80000,1,3
18.15,1198.0,82.0,21000,1,3
19.0,1197.0,85.8,100000,1,3
21.21,1197.0,81.8,25000,1,3
23.0,1498.0,98.96,30000,1,1
17.8,1496.0,105.5,25000,2,0
13.0,2143.0,204.0,40000,2,0
11.5,2982.0,169.0,160000,2,0
18.15,1198.0,82.0,51492,1,3
20.54,1598.0,103.6,72000,1,1
18.16,1196.0,86.8,60000,1,3
15.96,2523.0,62.1,136000,1,2
17.92,1086.0,62.1,60000,1,3
18.9,1248.0,74.0,110000,1,3
17.92,1086.0,62.1,90000,1,3
22.71,1461.0,84.8,91000,1,1
17.92,1086.0,62.1,90000,1,3
20.51,998.0,67.04,50000,1,3
19.81,1086.0,68.05,20000,1,3
14.0,2489.0,95.0,120000,1,2
18.9,1061.0,67.0,150000,1,3
19.09,1405.0,69.01,52000,1,1
13.6,2523.0,63.0,167000,1,2
28.4,1248.0,74.02,40000,1,1
17.8,1248.0,75.0,190000,1,1
23.01,999.0,67.0,50000,1,3
14.0,2498.0,112.0,70000,1,2
18.9,998.0,67.1,80000,1,3
13.6,2523.0,63.0,120000,1,2
18.49,1493.0,100.0,40000,1,1
21.1,814.0,55.2,17000,1,3
19.0,998.0,67.1,180000,1,3
23.1,998.0,67.04,50000,1,3
21.1,814.0,55.2,65000,1,3
26.0,624.0,35.0,10000,1,3
13.6,2523.0,63.0,70000,1,2
13.58,2499.0,72.4,90000,1,2
22.54,1396.0,88.73,50000,1,1
18.6,1197.0,81.86,10000,1,3
18.49,1493.0,100.0,25000,1,1
13.5,2179.0,115.0,100000,1,2
10.1,2354.0,152.0,70000,2,0
20.63,1198.0,67.06,30000,1,3
18.15,1198.0,82.0,40000,1,3
21.9,1396.0,88.76,135000,1,1
23.1,998.0,67.04,35000,1,3
13.2,1495.0,94.0,120000,1,3
15.96,2523.0,62.1,120000,1,2
19.09,1396.0,69.0,190000,1,1
15.96,2523.0,62.1,120000,1,2
18.9,1248.0,74.0,120000,1,1
13.6,2523.0,63.0,175000,1,2
15.96,2523.0,63.0,175000,1,2
16.95,1498.0,97.7,25000,1,3
21.02,1248.0,88.76,80000,1,1
24.4,1120.0,71.0,70000,1,1
20.14,1197.0,81.86,10000,1,3
19.0,1194.0,94.68,6000,1,3
20.5,1598.0,103.5,90000,1,1
15.96,2523.0,63.0,110000,1,2
13.6,2523.0,63.0,120000,1,2
12.99,2494.0,100.6,50000,1,2
18.9,1197.0,81.86,20000,2,0
23.01,999.0,67.0,35000,1,3
20.14,1498.0,88.8,60000,1,1
18.6,1199.0,79.4,68000,1,3
20.4,1197.0,81.8,30000,1,3
16.0,2179.0,140.0,54000,1,2
18.9,1248.0,74.0,65000,1,3
18.9,1248.0,74.0,80000,1,1
16.8,1405.0,68.0,120000,1,1
18.9,1197.0,81.86,30000,1,3
18.9,1248.0,74.0,55113,1,3
27.28,1047.0,69.0,50000,1,1
23.95,998.0,67.05,6000,1,3
15.37,1196.0,73.0,50000,1,3
12.05,2179.0,120.0,90000,1,2
